"Id";"Tasarımcı";"Ayak izi";"Miktar";"Tasarım";"Tedarikçi ve hakem";
1;"C1, C2, C3";"C_0805_2012Metric";3;"100nF";;;
2;"C4, C5";"C_0805_2012Metric";2;"22pF";;;
3;"D1";"LED_0805_2012Metric";1;"LED";;;
4;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
5;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
6;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
7;"R1";"R_0805_2012Metric";1;"330";;;
8;"R2";"R_0805_2012Metric";1;"10k";;;
9;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
10;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
11;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"16MHz";;;
